created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-07-29T20:42:52Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-06-15T21:15:55Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-26T01:32:23Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-26T01:26:08Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T15:55:00Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-30T01:31:02Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-26T01:25:34Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T20:26:23Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-06-15T21:25:30Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-14T21:18:16Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Chapter,Tap
2025-06-26T01:25:32Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T03:30:12Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:40:56Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-05-21T18:56:34Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
